"brand","name","box","product","taras","paper","vmr","Loai","arrival_date","inbound_code"
CK,KHO ECOM THỦ ĐỨC,0,68,0,0,0,QC,"2026-07-16",I-1000502152-001
CK,KHO HÀ NỘI,12,197,0,0,0,-,"2026-07-06",O-0080223537-001
Pedro,KHO HÀ NỘI - SÀI ĐỒNG,95,1087,0,0,0,-,"2026-07-13",O-0080223757-001
CK,KHO HÀ NỘI - SÀI ĐỒNG,18,332,0,0,0,-,"2026-07-15",O-0080224282-001
Pedro,PD BIÊN HÒA,1,0,1,0,0,-,"2026-07-11",I-1000500751-001
Pedro,PD BIÊN HÒA,22,335,0,0,0,-,"2026-07-11",I-1000500754-001
Pedro,PD BÌNH DƯƠNG,1,9,0,0,0,túi ari lỗi ko put kệ,,I-1000502425-001
Pedro,PD BÌNH DƯƠNG,3,16,0,0,0,tiktok,,I-1000502452-001
Pedro,PD BÌNH DƯƠNG,27,247,0,0,0,-,,I-1000502586-001
Pedro,PD BÌNH TÂN,1,17,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502243-001
Pedro,PD BÌNH TÂN,1,1,0,0,0,tiktok,"2026-07-16",I-1000502289-001
Pedro,PD BÌNH TÂN,2,0,0,200,0,PD-SALEBAG-S,"2026-07-16",I-1000502428-001
Pedro,PD BÌNH TÂN,15,175,0,0,0,-,"2026-07-16",I-1000502530-001
Pedro,PD HAI BÀ TRƯNG,1,3,0,0,0,tiktok,"2026-07-16",I-1000502472-001
Pedro,PD HAI BÀ TRƯNG,1,6,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502473-001
Pedro,PD HAI BÀ TRƯNG,1,25,0,0,0,-,"2026-07-16",I-1000502475-001
Pedro,PD HUẾ,3,40,0,0,0,-,,I-1000501532-001
Pedro,PD HUẾ,1,3,0,0,0,KCL,,I-1000501533-001
Pedro,PD HUẾ,1,6,0,0,0,túi ari lỗi ko put kệ,,I-1000501534-001
Pedro,PD LÊ VĂN SỸ,1,4,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502491-001
Pedro,PD LÊ VĂN SỸ,1,1,0,0,0,tiktok,"2026-07-16",I-1000502497-001
Pedro,PD LÊ VĂN SỸ,6,95,0,0,0,-,"2026-07-16",I-1000502547-001
Pedro,PD NGUYỄN TRÃI FLAGSHIP,3,28,0,0,0,tiktok,"2026-07-16",I-1000502519-001
Pedro,PD NGUYỄN TRÃI FLAGSHIP,1,5,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502545-001
Pedro,PD NGUYỄN TRÃI FLAGSHIP,9,156,0,0,0,-,"2026-07-16",I-1000502599-001
Pedro,PD PARC MALL Q8,5,67,0,0,0,-,"2026-07-16",I-1000502478-001
Pedro,PD QUANG TRUNG,17,263,0,0,0,lệch size,"2026-07-09",I-1000500053-001
Pedro,PD QUANG TRUNG,5,112,0,0,0,-,"2026-07-16",I-1000502557-001
Pedro,PD QUANG TRUNG,1,8,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502555-001
Pedro,PD SÀI GÒN,6,65,0,0,0,tiktok,"2026-07-16",I-1000502578-001
Pedro,PD SÀI GÒN,18,236,0,0,0,-,"2026-07-16",I-1000502595-001
Pedro,PD THẢO ĐIỀN,1,6,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502419-001
Pedro,PD THẢO ĐIỀN,5,85,0,0,0,tiktok,"2026-07-16",I-1000502579-001
Pedro,PD THẢO ĐIỀN,7,97,0,0,0,-,"2026-07-16",I-1000502580-001
Pedro,PD TÂN PHÚ,10,129,0,0,0,"2 DO tổng 10 thùng","2026-07-16",I-1000502477-001
Pedro,PD TÂN PHÚ,0,5,0,0,0,"2 DO tổng 10 thùng","2026-07-16",I-1000502476-001
Pedro,PD VIVO,3,36,0,0,0,tiktok,"2026-07-16",I-1000502567-001
Pedro,PD VIVO,5,81,0,0,0,-,"2026-07-16",I-1000502575-001
Pedro,PD VIVO,1,10,0,0,0,KCL,"2026-07-16",I-1000502592-001
Pedro,PD VIVO,1,5,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502593-001
Pedro,PD VŨNG TÀU,1,0,1,0,0,-,"2026-07-11",I-1000499069-001
Pedro,PD VŨNG TÀU,25,340,0,0,0,-,"2026-07-11",I-1000500642-001
Pedro,PD VŨNG TÀU,1,8,0,0,0,-,"2026-07-11",I-1000500683-001
Pedro,PD VẠN HẠNH,1,0,1,0,0,-,"2026-07-16",I-1000502411-001
Pedro,PD VẠN HẠNH,1,4,0,0,0,tiktok,"2026-07-16",I-1000502443-001
Pedro,PD VẠN HẠNH,5,86,0,0,0,-,"2026-07-16",I-1000502598-001
Pedro,PD VẠN HẠNH,1,5,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502597-001
Pedro,PD ĐỒNG KHỞI,5,55,0,0,0,tiktok,"2026-07-16",I-1000502574-001
Pedro,PD ĐỒNG KHỞI,16,253,0,0,0,-,"2026-07-16",I-1000502610-001
Pedro,PD ĐỒNG KHỞI,1,0,0,147,0,PD-SALEBAG-S,"2026-07-16",I-1000502607-001
Pedro,PD ĐỒNG KHỞI,1,1,0,0,0,KCL,"2026-07-16",I-1000502608-001
Pedro,PD ĐỒNG KHỞI,1,2,0,0,0,túi ari lỗi ko put kệ,"2026-07-16",I-1000502617-001
Pedro,Pedro Cresscent Mall,2,20,0,0,0,-,"2026-07-16",I-1000502500-001
CK,TIKI,0,3,0,0,0,hàng chưa giao,,I-1000499047-001
